"","countries","population","latitude","longitude","GDP_per_capita","Daily.mean.temperature..C.","Average.precipitation..mm.","Average.relative.humidity....","Mean.monthly.sunshine.hours"
"219","Suriname","639,850",3.919305,-56.027783,"$7,042",27.51,245.07,81.04,10.34
"220","Sweden","10,656,633",60.128161,18.643501,"$58,208",7.25,70.62,80.89,9.57
"222","Switzerland","8,967,407",46.818188,8.227512,"$105,619",9.1,148.06,81.88,10.13
"224","Syria","25,620,427",34.802075,38.996815,"$1,133",21.76,38.21,51.15,11.21
"225","Taiwan","23,112,793",23.69781,120.960515,"$34,824",24.43,171.61,73.3,10.44
"227","Tajikistan","10,786,734",38.861034,71.276093,"$1,375",7.86,93.05,55.49,10.73
"228","Tanzania","70,545,865",-6.369028,34.888822,"$1,219",24.22,179.96,72.55,11.07
"229","Thailand","71,619,863",15.870032,100.992541,"$7,627",28.64,82.86,69,10.56
"231","Timor-Leste","1,418,517",-8.874217,125.727539,"$1,491",26.57,72.28,74.73,10.86
"232","Togo","9,721,608",8.619543,0.824782,"$1,031",26.08,142.68,64.08,10.95
"233","Tonga","103,742",-21.178986,-175.198242,"$5,475",25.73,217.69,77.9,10.25
"234","Trinidad and Tobago","1,511,155",10.691803,-61.222503,"$17,514",27.72,126.5,76.4,11.28
"235","Tunisia","12,348,573",33.886917,9.537499,"$4,558",21.09,36.02,57.8,11.07
"237","Turkey","87,685,426",38.963745,35.243322,"$16,393",14.96,77.99,63.1,10.82
"239","Turkmenistan","7,618,847",38.969719,59.556278,"$11,689",19.59,14.26,35.83,11.06
"240","Tuvalu","9,492",-7.109535,177.64933,"$6,848",28.72,380.16,74.9,10.67
"241","Uganda","51,384,894",1.373333,32.290275,"$1,251",23.47,282.53,72.42,11.11
"242","Ukraine","38,980,376",48.379433,31.16558,"$5,278",11.38,49.52,73.77,9.8
"243","United Arab Emirates","11,346,000",23.424076,53.847818,"$48,352",29.78,5.21,51.18,11.31
"245","United Kingdom","69,551,332",55.378051,-3.435973,"$55,199",10.75,61.25,83.05,9.17
"247","United States","347,275,807",37.09024,-95.712891,"$87,847",12.64,50.29,71.35,10.19
"249","Uruguay","3,384,688",-32.522779,-55.765835,"$23,556",18.62,136.83,74.33,10.43
"251","Uzbekistan","37,053,428",41.377491,64.585262,"$3,575",17.67,26.77,41.06,10.94
"253","Vanuatu","335,169",-15.376706,166.959158,"$3,780",26.28,229.66,79.37,10.13
"254","Venezuela","28,516,896",6.42375,-66.58973,"$3,805",26.65,201.48,75.92,10.79
"255","Vietnam","101,598,527",14.058324,108.277199,"$4,832",26.25,91.41,77.03,10.2
"256","Yemen","41,773,878",15.552727,48.516388,"$417",25.53,82.7,48.04,11.39
"257","Zambia","21,913,874",-13.133897,27.849332,"$1,319",23.33,113.42,63.37,10.78
"258","Zimbabwe","16,950,795",-19.015438,29.154857,"$2,252",22.73,94.57,59.3,10.67
