"","cities","countries","aqi_table.X2024"
"4953","Cary","USA",7.3
"4954","Wilmette","USA",7.3
"4955","Henderson","USA",7.3
"4956","Cedar Rapids","USA",7.3
"4957","Hutchinson","USA",7.3
"4958","Keedysville","USA",7.3
"4959","Greenville","USA",7.3
"4960","Ludington","USA",7.3
"4961","Novi","USA",7.3
"4962","West Saint Paul","USA",7.3
"4963","Martin City","USA",7.3
"4964","Thompson Falls","USA",7.3
"4965","Allendale","USA",7.3
"4966","Jersey City","USA",7.3
"4967","Somerset","USA",7.3
"4968","Santa Teresa","USA",7.3
"4969","Akron","USA",7.3
"4970","Rosemount","USA",7.3
"4971","Shadyside","USA",7.3
"4972","Klamath","USA",7.3
"4973","Lakeview","USA",7.3
"4974","Prineville","USA",7.3
"4975","Beaver","USA",7.3
"4976","Blakely","USA",7.3
"4977","Butler","USA",7.3
"4978","Carnegie","USA",7.3
"4979","Langhorne","USA",7.3
"4980","McKeesport","USA",7.3
"4981","Morrisville","USA",7.3
"4982","Throop","USA",7.3
"4983","Washington","USA",7.3
"4984","Hanahan","USA",7.3
"4985","Harriman","USA",7.3
"4986","Hendersonville","USA",7.3
"4987","Briarcliff","USA",7.3
"4988","Odessa","USA",7.3
"4989","Hill Air Force Base","USA",7.3
"4990","Lake Point","USA",7.3
"4991","Magna","USA",7.3
"4992","West Valley City","USA",7.3
"4993","Stephens City","USA",7.3
"4994","Wytheville","USA",7.3
"4995","Bridgeport","USA",7.3
"4996","Millwood","USA",7.3
"4997","Pine Grove","USA",7.3
"4998","Torrington","USA",7.3
"4999","Monash","Australia",7.2
"5000","Bludenz","Austria",7.2
"5001","Ardrossan","Canada",7.2
"5002","Lethbridge","Canada",7.2
"5003","Ashcroft","Canada",7.2
"5004","Milton","Canada",7.2
"5005","Blainville","Canada",7.2
"5006","Thetford-Mines","Canada",7.2
"5007","Changdu","China",7.2
"5008","Fillinges","France",7.2
"5009","Montluçon","France",7.2
"5010","Champforgueil","France",7.2
"5011","Ploemeur","France",7.2
"5012","Chartres","France",7.2
"5013","Béthune","France",7.2
"5014","Cherbourg-Octeville","France",7.2
"5015","Schwartenberg","Germany",7.2
"5016","Buncrana","Ireland",7.2
"5017","Kariya","Japan",7.2
"5018","Akita","Japan",7.2
"5019","Odate","Japan",7.2
"5020","Uwajima","Japan",7.2
"5021","Imadate District","Japan",7.2
"5022","Yashiro","Japan",7.2
"5023","Hitachinaka","Japan",7.2
"5024","Hakusan","Japan",7.2
"5025","Kaga","Japan",7.2
"5026","Hanamaki","Japan",7.2
"5027","Odawara","Japan",7.2
"5028","Tarogawa","Japan",7.2
"5029","Miyakojima","Japan",7.2
"5030","Ikeda","Japan",7.2
"5031","Hamada","Japan",7.2
"5032","Gobo","Japan",7.2
"5033","Amarume","Japan",7.2
"5034","Shinjo","Japan",7.2
"5035","Fujiyoshida","Japan",7.2
"5036","Nirasaki","Japan",7.2
"5037","Plateliai","Lithuania",7.2
"5038","Heerlen","Netherlands",7.2
"5039","Maarn","Netherlands",7.2
"5040","Ashburton","New Zealand",7.2
"5041","Krasnodar","Russia",7.2
"5042","Cape Town","South Africa",7.2
"5043","Palencia","Spain",7.2
"5044","Mölnlycke","Sweden",7.2
"5045","Brugg","Switzerland",7.2
"5046","Bern","Switzerland",7.2
"5047","Lugano","Switzerland",7.2
"5048","Chaguanas","Trinidad and Tobago",7.2
"5049","Boryspil'","Ukraine",7.2
"5050","Bradford","United Kingdom",7.2
"5051","Brighton","United Kingdom",7.2
"5052","Harlington","United Kingdom",7.2
"5053","Newcastle upon Tyne","United Kingdom",7.2
"5054","Southend-on-Sea","United Kingdom",7.2
"5055","Stoke-on-Trent","United Kingdom",7.2
"5056","Wakefield","United Kingdom",7.2
"5057","Chepstow","United Kingdom",7.2
"5058","Castaic","USA",7.2
"5059","Citrus Heights","USA",7.2
"5060","Hemet","USA",7.2
"5061","Oceanside","USA",7.2
"5062","Tranquillity","USA",7.2
"5063","Wrightwood","USA",7.2
"5064","Apollo Beach","USA",7.2
"5065","Venice","USA",7.2
"5066","Coeur d'Alene","USA",7.2
"5067","Des Plaines","USA",7.2
"5068","Northbrook","USA",7.2
"5069","Skokie","USA",7.2
"5070","Carmel","USA",7.2
"5071","Jasper","USA",7.2
"5072","Long Beach","USA",7.2
"5073","South Bend","USA",7.2
"5074","Davenport","USA",7.2
"5075","Dubuque","USA",7.2
"5076","Iowa City","USA",7.2
"5077","Sioux City","USA",7.2
"5078","Anchorage","USA",7.2
"5079","Cheverly","USA",7.2
"5080","Greenbelt","USA",7.2
"5081","Queen Anne","USA",7.2
"5082","Allen Park","USA",7.2
"5083","Bridgman","USA",7.2
"5084","Owatonna","USA",7.2
"5085","Helena Valley West Central","USA",7.2
"5086","Bridgewater","USA",7.2
"5087","Fort Lee","USA",7.2
"5088","Marlboro","USA",7.2
"5089","Montclair","USA",7.2
"5090","Sewaren","USA",7.2
"5091","Sussex","USA",7.2
"5092","Westfield","USA",7.2
"5093","Cheektowaga","USA",7.2
"5094","Putnam Lake","USA",7.2
"5095","Uniondale","USA",7.2
"5096","Fuquay-Varina","USA",7.2
"5097","Mebane","USA",7.2
"5098","Raleigh","USA",7.2
"5099","Fairborn","USA",7.2
"5100","Upper Arlington","USA",7.2
"5101","Youngstown","USA",7.2
"5102","Chester","USA",7.2
"5103","Clairton","USA",7.2
"5104","Dunmore","USA",7.2
"5105","Easton","USA",7.2
"5106","Marcus Hook","USA",7.2
"5107","Paoli","USA",7.2
"5108","Spring House","USA",7.2
"5109","West Newton","USA",7.2
"5110","Rapid City","USA",7.2
"5111","Johnson City","USA",7.2
"5112","Bertram","USA",7.2
"5113","Grand Prairie","USA",7.2
"5114","North Richland Hills","USA",7.2
"5115","Sachse","USA",7.2
"5116","Spicewood","USA",7.2
"5117","Winnsboro","USA",7.2
"5118","Clearfield","USA",7.2
"5119","Hooper","USA",7.2
"5120","Midvale","USA",7.2
"5121","Providence","USA",7.2
"5122","Westminster","USA",7.2
"5123","Annandale","USA",7.2
"5124","Manassas","USA",7.2
"5125","Montrose","USA",7.2
"5126","Winchester","USA",7.2
"5127","Nine Mile Falls","USA",7.2
"5128","Sunnyside","USA",7.2
"5129","Veradale","USA",7.2
"5130","West Richland","USA",7.2
"5131","Beloit","USA",7.2
"5132","Chilton","USA",7.2
"5133","Potosi","USA",7.2
"5134","Hazelton","Canada",7.1
"5135","Nelson","Canada",7.1
"5136","Revelstoke","Canada",7.1
"5137","Guelph","Canada",7.1
"5138","Oakville","Canada",7.1
"5139","Scarborough","Canada",7.1
"5140","Outlook","Canada",7.1
"5141","Copenhagen","Denmark",7.1
"5142","Hornbaek","Denmark",7.1
"5143","Massilly","France",7.1
"5144","Montceau-les-Mines","France",7.1
"5145","Ruffey-les-Echirey","France",7.1
"5146","Vesoul","France",7.1
"5147","Bourges","France",7.1
"5148","Joué-lès-Tours","France",7.1
"5149","Bois-Herpin","France",7.1
"5150","Orsay","France",7.1
"5151","Niort","France",7.1
"5152","Chaidari","Greece",7.1
"5153","Macroom","Ireland",7.1
"5154","Tsuruga","Japan",7.1
"5155","Otaru","Japan",7.1
"5156","Nonoichi","Japan",7.1
"5157","Matsushima","Japan",7.1
"5158","Nagano","Japan",7.1
"5159","Matsue","Japan",7.1
"5160","Kakegawa","Japan",7.1
"5161","Shimoda","Japan",7.1
"5162","Tanabe","Japan",7.1
"5163","Kapit","Malaysia",7.1
"5164","Eindhoven","Netherlands",7.1
"5165","Enschede","Netherlands",7.1
"5166","Magnitogorsk","Russia",7.1
"5167","Sagunt","Spain",7.1
"5168","Delemont","Switzerland",7.1
"5169","Burton upon Trent","United Kingdom",7.1
"5170","Immingham","United Kingdom",7.1
"5171","Leicester","United Kingdom",7.1
"5172","Purley","United Kingdom",7.1
"5173","Ruislip","United Kingdom",7.1
"5174","Staines-upon-Thames","United Kingdom",7.1
"5175","Stoke Gifford","United Kingdom",7.1
"5176","Willesborough","United Kingdom",7.1
"5177","Dunmurry","United Kingdom",7.1
"5178","Montgomery","USA",7.1
"5179","Helena-West Helena","USA",7.1
"5180","Bodfish","USA",7.1
"5181","Downieville","USA",7.1
"5182","El Centro","USA",7.1
"5183","Escalon","USA",7.1
"5184","Eucalyptus Hills","USA",7.1
"5185","Hayfork","USA",7.1
"5186","Oak Park","USA",7.1
"5187","San Antonio Heights","USA",7.1
"5188","Santa Clarita","USA",7.1
"5189","Willow Creek","USA",7.1
"5190","Commerce City","USA",7.1
"5191","Timnath","USA",7.1
"5192","Wauregan","USA",7.1
"5193","Middletown","USA",7.1
"5194","Newark","USA",7.1
"5195","Coconut Creek","USA",7.1
"5196","Ferry Pass","USA",7.1
"5197","McDonough","USA",7.1
"5198","Watkinsville","USA",7.1
"5199","Highland","USA",7.1
"5200","Palatine","USA",7.1
"5201","Chrisney","USA",7.1
"5202","Fishers","USA",7.1
"5203","Larwill","USA",7.1
"5204","Ogden Dunes","USA",7.1
"5205","Rockport","USA",7.1
"5206","Brownell","USA",7.1
"5207","Easton","USA",7.1
"5208","Easthampton","USA",7.1
"5209","Durand","USA",7.1
"5210","Shepherd","USA",7.1
"5211","Indianola","USA",7.1
"5212","Blair","USA",7.1
"5213","Burwell","USA",7.1
"5214","Franklin Park","USA",7.1
"5215","Glen Ridge","USA",7.1
"5216","River Edge","USA",7.1
"5217","Ballston Spa","USA",7.1
"5218","Churchville","USA",7.1
"5219","Webster","USA",7.1
"5220","Cary","USA",7.1
"5221","Stoneville","USA",7.1
"5222","Jamestown","USA",7.1
"5223","Ryder","USA",7.1
"5224","Broadview Heights","USA",7.1
"5225","McConnelsville","USA",7.1
"5226","New Paris","USA",7.1
"5227","The Plains","USA",7.1
"5228","Central Point","USA",7.1
"5229","Madras","USA",7.1
"5230","Merlin","USA",7.1
"5231","Avalon","USA",7.1
"5232","Charleroi","USA",7.1
"5233","Chester Springs","USA",7.1
"5234","East Bangor","USA",7.1
"5235","Greensburg","USA",7.1
"5236","Meadville","USA",7.1
"5237","Monroeville","USA",7.1
"5238","Prosperity","USA",7.1
"5239","Blacksburg","USA",7.1
"5240","Timber Lake","USA",7.1
"5241","Bluff City","USA",7.1
"5242","Kingsport","USA",7.1
"5243","Cedar Park","USA",7.1
"5244","Cypress","USA",7.1
"5245","Manila","USA",7.1
"5246","Smithfield","USA",7.1
"5247","Fredericksburg","USA",7.1
"5248","Keysville","USA",7.1
"5249","Oakton","USA",7.1
"5250","Vienna","USA",7.1
"5251","Omak","USA",7.1
"5252","Summit Point","USA",7.1
"5253","Waukesha","USA",7.1
"5254","Green River","USA",7.1
"5255","Kelly","USA",7.1
"5256","Sheridan","USA",7.1
"5257","South Tamworth","Australia",7
"5258","Attachie","Canada",7
"5259","Castlegar","Canada",7
"5260","Winnipeg","Canada",7
"5261","Mississauga","Canada",7
"5262","Brossard","Canada",7
"5263","Laval","Canada",7
"5264","Manizales","Colombia",7
"5265","Plitvica Selo","Croatia",7
"5266","Le Bourget-du-Lac","France",7
"5267","Nevers","France",7
"5268","Châteauroux","France",7
"5269","Dreux","France",7
"5270","Montargis","France",7
"5271","Saint-Sulpice-de-Pommeray","France",7
"5272","Forbach","France",7
"5273","Angoulême","France",7
"5274","Lourdes","France",7
"5275","Saint-Denis-d'Anjou","France",7
"5276","Plan-d'Aups-Sainte-Baume","France",7
"5277","Freiburg","Germany",7
"5278","Grenzach-Wyhlen","Germany",7
"5279","Kehrig","Germany",7
"5280","Lebach","Germany",7
"5281","Trockenborn-Wolfersdorf","Germany",7
"5282","Ilioupoli","Greece",7
"5283","Agios Pavlos","Greece",7
"5284","Sitia","Greece",7
"5285","Sorong","Indonesia",7
"5286","Gaillimh","Ireland",7
"5287","Galway","Ireland",7
"5288","Takahama","Japan",7
"5289","Hachinohe","Japan",7
"5290","Torami","Japan",7
"5291","Kaizu","Japan",7
"5292","Minokamo","Japan",7
"5293","Takayama","Japan",7
"5294","Maizuru","Japan",7
"5295","Owase","Japan",7
"5296","Morigo","Japan",7
"5297","Niigata","Japan",7
"5298","Yono","Japan",7
"5299","Fujieda","Japan",7
"5300","Hamamatsu","Japan",7
"5301","Shizuoka","Japan",7
"5302","Nasukarasuyama","Japan",7
"5303","Hinohara","Japan",7
"5304","Arata","Japan",7
"5305","Strpce","Kosovo",7
"5306","Bar","Montenegro",7
"5307","Moss","Norway",7
"5308","Sochi","Russia",7
"5309","Aguimes","Spain",7
"5310","Ciudad Real","Spain",7
"5311","Benavente","Spain",7
"5312","Gandesa","Spain",7
"5313","Arteixo","Spain",7
"5314","Malmö","Sweden",7
"5315","Chatel-Saint-Denis","Switzerland",7
"5316","Brione sopra Minusio","Switzerland",7
"5317","Thalwil","Switzerland",7
"5318","Birkenhead","United Kingdom",7
"5319","Blackburn","United Kingdom",7
"5320","Chesterfield","United Kingdom",7
"5321","Coventry","United Kingdom",7
"5322","Crewe","United Kingdom",7
"5323","Derby","United Kingdom",7
"5324","Hatfield","United Kingdom",7
"5325","Huntingdon","United Kingdom",7
"5326","Kendal","United Kingdom",7
"5327","Marston Green","United Kingdom",7
"5328","Norbury","United Kingdom",7
"5329","Saint Osyth","United Kingdom",7
"5330","Holywood","United Kingdom",7
"5331","Mobile","USA",7
"5332","Ester","USA",7
"5333","Glendale","USA",7
"5334","Peoria","USA",7
"5335","Cantua Creek","USA",7
"5336","Encinitas","USA",7
"5337","Groveland","USA",7
"5338","Irvine","USA",7
"5339","Laguna Niguel","USA",7
"5340","Mission Viejo","USA",7
"5341","Santa Paula","USA",7
"5342","Weaverville","USA",7
"5343","Yuba City","USA",7
"5344","Burlington","USA",7
"5345","Felton","USA",7
"5346","Springfield","USA",7
"5347","Stockton","USA",7
"5348","Wood River","USA",7
"5349","Clinton","USA",7
"5350","Fairfield","USA",7
"5351","Saylorville","USA",7
"5352","Brownsville","USA",7
"5353","Hopkinsville","USA",7
"5354","Otis","USA",7
"5355","Bloomfield Hills","USA",7
"5356","Flint","USA",7
"5357","New Haven","USA",7
"5358","Whitehall","USA",7
"5359","Saint Charles","USA",7
"5360","Whitefish","USA",7
"5361","Alma","USA",7
"5362","Ogallala","USA",7
"5363","York","USA",7
"5364","Old Tappan","USA",7
"5365","Red Bank","USA",7
"5366","Summit","USA",7
"5367","Clifton Park","USA",7
"5368","Dix Hills","USA",7
"5369","Lincoln Park","USA",7
"5370","Scarsdale","USA",7
"5371","Tonawanda","USA",7
"5372","Asheville","USA",7
"5373","Beulah","USA",7
"5374","Bismarck","USA",7
"5375","Fort Yates","USA",7
"5376","Kenmare","USA",7
"5377","Logan","USA",7
"5378","Culver","USA",7
"5379","Baden","USA",7
"5380","Brackney","USA",7
"5381","Finleyville","USA",7
"5382","Laughlintown","USA",7
"5383","Pittsburgh","USA",7
"5384","Plymouth Meeting","USA",7
"5385","Portersville","USA",7
"5386","Quakertown","USA",7
"5387","Stormstown","USA",7
"5388","Myrtle Beach","USA",7
"5389","Gunter","USA",7
"5390","Justin","USA",7
"5391","Lago Vista","USA",7
"5392","Rockport","USA",7
"5393","Farr West","USA",7
"5394","Chesterfield","USA",7
"5395","Leesburg","USA",7
"5396","Purcellville","USA",7
"5397","Republic","USA",7
"5398","Riverton","USA",7
"5399","Spokane","USA",7
"5400","Manitowoc","USA",7
"5401","Milwaukee","USA",7
"5402","New Berlin","USA",7
"5403","Weston","USA",7
"5404","Kembla Grange","Australia",6.9
"5405","North MacLean","Australia",6.9
"5406","Wangaratta","Australia",6.9
"5407","Oberrauchenödt","Austria",6.9
"5408","Carrot Creek","Canada",6.9
"5409","Medicine Hat","Canada",6.9
"5410","Taber","Canada",6.9
"5411","Tomahawk","Canada",6.9
"5412","Rossland","Canada",6.9
"5413","Yellowknife","Canada",6.9
"5414","Toronto","Canada",6.9
"5415","Levis","Canada",6.9
"5416","Longueuil","Canada",6.9
"5417","Trois-Rivieres","Canada",6.9
"5418","Aguas Zarcas","Costa Rica",6.9
"5419","Štuti","Croatia",6.9
"5420","Silkeborg","Denmark",6.9
"5421","Quimper","France",6.9
"5422","Chalette-sur-Loing","France",6.9
"5423","Orléans","France",6.9
"5424","Tours","France",6.9
"5425","Blandy","France",6.9
"5426","Baden-Baden","Germany",6.9
"5427","Cuxhaven","Germany",6.9
"5428","Lauenburg","Germany",6.9
"5429","Meiningen","Germany",6.9
"5430","Sligo","Ireland",6.9
"5431","Carlow","Ireland",6.9
"5432","Togane","Japan",6.9
"5433","Echizen","Japan",6.9
"5434","Kakamigahara","Japan",6.9
"5435","Kitami","Japan",6.9
"5436","Hitachiomiya","Japan",6.9
"5437","Tonosho","Japan",6.9
"5438","Minamiashigara","Japan",6.9
"5439","Kami","Japan",6.9
"5440","Toba","Japan",6.9
"5441","Minamiuonuma","Japan",6.9
"5442","Naha","Japan",6.9
"5443","Izunokuni","Japan",6.9
"5444","Yaizu","Japan",6.9
"5445","Nanto","Japan",6.9
"5446","De Rijp","Netherlands",6.9
"5447","Oslo","Norway",6.9
"5448","Stavanger","Norway",6.9
"5449","Kristiansand","Norway",6.9
"5450","Estacion Ferrea","Spain",6.9
"5451","Morro del Jable","Spain",6.9
"5452","Pradejon","Spain",6.9
"5453","Schlieren / Zentrum","Switzerland",6.9
"5454","Guanshan","Taiwan",6.9
"5455","Beaconsfield","United Kingdom",6.9
"5456","Borehamwood","United Kingdom",6.9
"5457","Dunstable","United Kingdom",6.9
"5458","Yuma","USA",6.9
"5459","Fayetteville","USA",6.9
"5460","Rogers","USA",6.9
"5461","Anderson","USA",6.9
"5462","Barstow","USA",6.9
"5463","Durham","USA",6.9
"5464","Fallbrook","USA",6.9
"5465","Lake Arrowhead","USA",6.9
"5466","Salton City","USA",6.9
"5467","Eaton","USA",6.9
"5468","Greeley","USA",6.9
"5469","Hamden","USA",6.9
"5470","Milford","USA",6.9
"5471","Daytona Beach","USA",6.9
"5472","Fort Myers","USA",6.9
"5473","Jacksonville","USA",6.9
"5474","Mineral Bluff","USA",6.9
"5475","Savannah","USA",6.9
"5476","Mahomet","USA",6.9
"5477","Bristow","USA",6.9
"5478","La Porte","USA",6.9
"5479","Middletown","USA",6.9
"5480","Mount Vernon","USA",6.9
"5481","Schererville","USA",6.9
"5482","Florence","USA",6.9
"5483","Paducah","USA",6.9
"5484","Mount Airy","USA",6.9
"5485","Port Huron","USA",6.9
"5486","Craig","USA",6.9
"5487","Butte","USA",6.9
"5488","Hallam","USA",6.9
"5489","Bordentown","USA",6.9
"5490","Cranbury","USA",6.9
"5491","Englewood","USA",6.9
"5492","Point Pleasant Beach","USA",6.9
"5493","Valencia","USA",6.9
"5494","Fairport","USA",6.9
"5495","Holley","USA",6.9
"5496","Kingston","USA",6.9
"5497","Watervliet","USA",6.9
"5498","Lowesville","USA",6.9
"5499","Ironton","USA",6.9
"5500","Marietta","USA",6.9
"5501","Ada","USA",6.9
"5502","Medford","USA",6.9
"5503","Ontario","USA",6.9
"5504","Coopersburg","USA",6.9
"5505","Edgeworth","USA",6.9
"5506","West Chester","USA",6.9
"5507","Fort Thompson","USA",6.9
"5508","Dickson","USA",6.9
"5509","Bartonville","USA",6.9
"5510","Galveston","USA",6.9
"5511","Highland","USA",6.9
"5512","Kaysville","USA",6.9
"5513","Millcreek","USA",6.9
"5514","Charles City","USA",6.9
"5515","Haymarket","USA",6.9
"5516","Richmond","USA",6.9
"5517","Otis Orchards-East Farms","USA",6.9
"5518","Pasco","USA",6.9
"5519","Richland","USA",6.9
"5520","Yakima","USA",6.9
"5521","Washington","USA",6.9
"5522","Perth","Australia",6.8
"5523","Brooklyn","Australia",6.8
"5524","Dandenong","Australia",6.8
"5525","Saint-Nicolas","Belgium",6.8
"5526","Crawford Bay","Canada",6.8
"5527","Vanderhoof","Canada",6.8
"5528","Behchoko","Canada",6.8
"5529","Brampton","Canada",6.8
"5530","Burlington","Canada",6.8
"5531","Chatham","Canada",6.8
"5532","Innisfil","Canada",6.8
"5533","Woodstock","Canada",6.8
"5534","Candiac","Canada",6.8
"5535","Saint-Bruno-de-Montarville","Canada",6.8
"5536","Blois","France",6.8
"5537","Saint-Gervais-la-Foret","France",6.8
"5538","Saint-Dizier","France",6.8
"5539","Caen","France",6.8
"5540","Cerisé","France",6.8
"5541","La Rochelle","France",6.8
"5542","Donges","France",6.8
"5543","Briancon","France",6.8
"5544","Tateyama","Japan",6.8
"5545","Ono","Japan",6.8
"5546","Minami-Soma","Japan",6.8
"5547","Kitamachi","Japan",6.8
"5548","Koga","Japan",6.8
"5549","Komatsu","Japan",6.8
"5550","Nanao","Japan",6.8
"5551","Amami","Japan",6.8
"5552","Kyotango","Japan",6.8
"5553","Kesennuma","Japan",6.8
"5554","Suwa","Japan",6.8
"5555","Ueda","Japan",6.8
"5556","Nanbu","Japan",6.8
"5557","Yoshida","Japan",6.8
"5558","Nowa Świdziałówka","Poland",6.8
"5559","Sarnen","Switzerland",6.8
"5560","Dornach","Switzerland",6.8
"5561","Taitung","Taiwan",6.8
"5562","Chorley","United Kingdom",6.8
"5563","Great Bookham","United Kingdom",6.8
"5564","Preston","United Kingdom",6.8
"5565","Fairhope","USA",6.8
"5566","San Carlos","USA",6.8
"5567","Arden-Arcade","USA",6.8
"5568","Carlsbad","USA",6.8
"5569","Coffee Creek","USA",6.8
"5570","Dinuba","USA",6.8
"5571","Forest Ranch","USA",6.8
"5572","Hesperia","USA",6.8
"5573","Kerman","USA",6.8
"5574","Red Bluff","USA",6.8
"5575","Sacramento","USA",6.8
"5576","Weldon","USA",6.8
"5577","Winchester","USA",6.8
"5578","Bridgeport","USA",6.8
"5579","Pace","USA",6.8
"5580","Placid Lakes","USA",6.8
"5581","Sandpoint","USA",6.8
"5582","Lebanon","USA",6.8
"5583","Peotone","USA",6.8
"5584","Wilmington","USA",6.8
"5585","Bloomfield","USA",6.8
"5586","Kokomo","USA",6.8
"5587","Lake Charles","USA",6.8
"5588","Annapolis","USA",6.8
"5589","California","USA",6.8
"5590","Chaptico","USA",6.8
"5591","Cockeysville","USA",6.8
"5592","Dearborn Heights","USA",6.8
"5593","Hudsonville","USA",6.8
"5594","Kalamazoo","USA",6.8
"5595","South Haven","USA",6.8
"5596","Ypsilanti","USA",6.8
"5597","Bagley","USA",6.8
"5598","Lake City","USA",6.8
"5599","Marshall","USA",6.8
"5600","Saint Michael","USA",6.8
"5601","Grand Island","USA",6.8
"5602","Albany","USA",6.8
"5603","Eden","USA",6.8
"5604","Malverne","USA",6.8
"5605","West Hempstead","USA",6.8
"5606","Grimesland","USA",6.8
"5607","Beavercreek","USA",6.8
"5608","Red Rock","USA",6.8
"5609","Archbald","USA",6.8
"5610","Avondale","USA",6.8
"5611","Dallas","USA",6.8
"5612","Freemansburg","USA",6.8
"5613","Graysville","USA",6.8
"5614","Jim Thorpe","USA",6.8
"5615","Montrose","USA",6.8
"5616","Pen Argyl","USA",6.8
"5617","Sewickley","USA",6.8
"5618","Hartsville","USA",6.8
"5619","Jackson","USA",6.8
"5620","Vonore","USA",6.8
"5621","Denton","USA",6.8
"5622","South Jordan","USA",6.8
"5623","Rutland","USA",6.8
"5624","Chantilly","USA",6.8
"5625","Staunton","USA",6.8
"5626","Coulee Dam","USA",6.8
"5627","Pateros","USA",6.8
"5628","Spokane Valley","USA",6.8
"5629","Weirton","USA",6.8
"5630","Oshkosh","USA",6.8
"5631","Shorewood Hills","USA",6.8
"5632","General Pico","Argentina",6.7
"5633","Gunnedah","Australia",6.7
"5634","South Brisbane","Australia",6.7
"5635","Croydon","Australia",6.7
"5636","Klein Sankt Paul","Austria",6.7
"5637","Heiterwang","Austria",6.7
"5638","Andenne","Belgium",6.7
"5639","Herstal","Belgium",6.7
"5640","Chetwynd","Canada",6.7
"5641","Fruitvale","Canada",6.7
"5642","Port Stanley","Canada",6.7
"5643","Becancour","Canada",6.7
"5644","Servoz","France",6.7
"5645","Épernay","France",6.7
"5646","Sindelfingen","Germany",6.7
"5647","Andechs","Germany",6.7
"5648","Holzkirchen","Germany",6.7
"5649","Zell am Main","Germany",6.7
"5650","Naas","Ireland",6.7
"5651","Cobh","Ireland",6.7
"5652","Carndonagh","Ireland",6.7
"5653","Yurihonjo","Japan",6.7
"5654","Choshi","Japan",6.7
"5655","Ekimaemachi","Japan",6.7
"5656","Furukawamachi","Japan",6.7
"5657","Shirakawa","Japan",6.7
"5658","Hagi","Japan",6.7
"5659","Merida","Mexico",6.7
"5660","Mo i Rana","Norway",6.7
"5661","San Sebastian","Spain",6.7
"5662","Lomo de Arico","Spain",6.7
"5663","Medina del Campo","Spain",6.7
"5664","Rascafria","Spain",6.7
"5665","Veyras","Switzerland",6.7
"5666","Dübendorf","Switzerland",6.7
"5667","Wädenswil","Switzerland",6.7
"5668","Eastbourne","United Kingdom",6.7
"5669","Greenford","United Kingdom",6.7
"5670","Nantwich","United Kingdom",6.7
"5671","South Shields","United Kingdom",6.7
"5672","Southampton","United Kingdom",6.7
"5673","Warminster","United Kingdom",6.7
"5674","Newport","United Kingdom",6.7
"5675","Fort Defiance","USA",6.7
"5676","Big Bear Lake","USA",6.7
"5677","Golden Hills","USA",6.7
"5678","Lake Forest","USA",6.7
"5679","Mountain House","USA",6.7
"5680","San Diego","USA",6.7
"5681","Thousand Oaks","USA",6.7
"5682","Lakewood","USA",6.7
"5683","Mansfield","USA",6.7
"5684","Oxford","USA",6.7
"5685","Dover","USA",6.7
"5686","Delray Beach","USA",6.7
"5687","Lakeland","USA",6.7
"5688","Ocean Ridge","USA",6.7
"5689","Pensacola","USA",6.7
"5690","Winter Park","USA",6.7
"5691","DeKalb","USA",6.7
"5692","Machesney Park","USA",6.7
"5693","Columbus","USA",6.7
"5694","New Albany","USA",6.7
"5695","Leavenworth","USA",6.7
"5696","Hazard","USA",6.7
"5697","Largo","USA",6.7
"5698","Lusby","USA",6.7
"5699","Overlea","USA",6.7
"5700","Pocomoke City","USA",6.7
"5701","Potomac","USA",6.7
"5702","Waterford","USA",6.7
"5703","Saint Peter","USA",6.7
"5704","Saint Louis","USA",6.7
"5705","Benkelman","USA",6.7
"5706","Paterson","USA",6.7
"5707","Randolph","USA",6.7
"5708","Buffalo","USA",6.7
"5709","New Hartford","USA",6.7
"5710","North Tonawanda","USA",6.7
"5711","Rochester","USA",6.7
"5712","Schenectady","USA",6.7
"5713","West Seneca","USA",6.7
"5714","Black Mountain","USA",6.7
"5715","Weaverville","USA",6.7
"5716","Mayfield","USA",6.7
"5717","Eagle Point","USA",6.7
"5718","McKenzie Bridge","USA",6.7
"5719","Umatilla","USA",6.7
"5720","Furlong","USA",6.7
"5721","Harveys Lake","USA",6.7
"5722","Johnstown","USA",6.7
"5723","Murrysville","USA",6.7
"5724","New Hope","USA",6.7
"5725","Rochester","USA",6.7
"5726","West Mifflin","USA",6.7
"5727","North Charleston","USA",6.7
"5728","Centerville","USA",6.7
"5729","Saratoga Springs","USA",6.7
"5730","Bristol","USA",6.7
"5731","Lakeside","USA",6.7
"5732","Wellsburg","USA",6.7
"5733","Madison","USA",6.7
"5734","Escaldes-Engordany","Andorra",6.6
"5735","Wagga Wagga","Australia",6.6
"5736","Rocklea","Australia",6.6
"5737","Brooks","Canada",6.6
"5738","Erin","Canada",6.6
"5739","L'Ange-Gardien","Canada",6.6
"5740","Quebec","Canada",6.6
"5741","Shawinigan","Canada",6.6
"5742","Saint-Brieuc","France",6.6
"5743","Limoges","France",6.6
"5744","La Tardière","France",6.6
"5745","Tannenbergsthal","Germany",6.6
"5746","Flensburg","Germany",6.6
"5747","Gehlberg","Germany",6.6
"5748","Sondershausen","Germany",6.6
"5749","Confey","Ireland",6.6
"5750","Dublin","Ireland",6.6
"5751","Cill Airne","Ireland",6.6
"5752","Limerick","Ireland",6.6
"5753","Mezzacca","Italy",6.6
"5754","Inuyama","Japan",6.6
"5755","Kitahiroshima","Japan",6.6
