"","cities","countries","aqi_table.X2024"
"322","Binzhou","China",38.9
"323","Taozhuang","China",38.9
"324","Imphal","India",38.9
"325","Khobar","Saudi Arabia",38.8
"326","Novi Pazar","Serbia",38.8
"327","Wuwei","China",38.7
"328","Zhuzhou","China",38.7
"329","Linyi","China",38.7
"330","Nanding","China",38.7
"331","Ahmadnagar","India",38.7
"332","Yingchuan","China",38.6
"333","Solapur","India",38.6
"334","Cangzhou Shi","China",38.5
"335","Huanggang","China",38.5
"336","Jinzhong","China",38.5
"337","Amaravati","India",38.5
"338","Bengbu","China",38.4
"339","Serrekunda","Gambia",38.4
"340","Taian","China",38.3
"341","Nashik","India",38.2
"342","Cho","Vietnam",38.2
"343","Yibin","China",38.1
"344","Zhangye","China",38
"345","Yinchuan","China",38
"346","Taiyuan","China",37.9
"347","Tianjin","China",37.8
"348","Chittoor","India",37.7
"349","Talat Khwan","Thailand",37.7
"350","Tongchuan","China",37.6
"351","Palwal","India",37.6
"352","Leshan","China",37.5
"353","Navi Mumbai","India",37.5
"354","Cau Dien","Vietnam",37.5
"355","Huaian","China",37.4
"356","Bayinguoleng Mengguzizhizhou","China",37.4
"357","Huainan","China",37.2
"358","Xinyang","China",37.2
"359","Dawukou","China",37.2
"360","Ratlam","India",37.2
"361","Centurion","South Africa",37
"362","Sanmenxia","China",36.9
"363","Shizuishan","China",36.9
"364","Kishanganj","India",36.9
"365","Hancheng","China",36.8
"366","Neijiang","China",36.8
"367","Yichang","China",36.7
"368","Nanzhou","China",36.7
"369","Pitrufquen","Chile",36.6
"370","Akola","India",36.6
"371","Jodhpur","India",36.6
"372","Hai BaTrung","Vietnam",36.6
"373","Jishui","China",36.5
"374","Chhal","India",36.5
"375","Haldia","India",36.5
"376","Langfang","China",36.4
"377","Shanhaiguan","China",36.4
"378","Firozabad","India",36.4
"379","Jhansi","India",36.4
"380","Yaounde","Cameroon",36.3
"381","Urumqi","China",36.3
"382","Accra","Ghana",36.3
"383","Nai Wiang","Thailand",36.3
"384","Rajsamand","India",36.2
"385","Mae Sai","Thailand",35.9
"386","Korla","China",35.8
"387","Yima","China",35.6
"388","Anjiang","China",35.6
"389","Yongzhou","China",35.6
"390","Jincheng","China",35.6
"391","Bathinda","India",35.6
"392","Guangan","China",35.5
"393","Indore","India",35.4
"394","Amravati","India",35.4
"395","Dammam","Saudi Arabia",35.4
"396","Fengrun","China",35.3
"397","Tangshan","China",35.3
"398","Hengyang","China",35.3
"399","Yueyang","China",35.3
"400","Pune","India",35.3
"401","Coimbatore","India",35.3
"402","Jinan","China",35.2
"403","Shillong","India",35.2
"404","Shaoyang","China",35.1
"405","Weifang","China",35.1
"406","Tongling","China",35
"407","Brikama","Gambia",34.9
"408","Bidar","India",34.9
"409","Ezhou","China",34.8
"410","Wenxing","China",34.8
"411","Liaoyang","China",34.8
"412","Changzhi","China",34.7
"413","Tangjiazhuang","China",34.6
"414","Qionghu","China",34.5
"415","Zhenjiang","China",34.5
"416","Nanchong","China",34.5
"417","Luang Prabang","Laos",34.4
"418","Luan","China",34.3
"419","Fushun","China",34.2
"420","Hongqiao","China",34.1
"421","Jinshi","China",34.1
"422","Wuzhong","China",34.1
"423","Mianyang","China",34.1
"424","Loudi","China",34
"425","Vereeniging","South Africa",34
"426","Hanting","China",33.9
"427","Wiang Phang Kham","Thailand",33.9
"428","Zhangqiu","China",33.8
"429","Ziyang","China",33.8
"430","Jiuquan","China",33.7
"431","Huazhou","China",33.7
"432","Yongfeng","China",33.7
"433","Mumbai","India",33.7
"434","Pratapgarh","India",33.7
"435","Jinchang","China",33.6
"436","Yunyang","China",33.6
"437","Shangmei","China",33.6
"438","Jinzhou","China",33.5
"439","Yingkou","China",33.5
"440","Vatva","India",33.5
"441","Meishan","China",33.4
